name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro
H. Son,Heung Min Son,7/8/1992,26,183,78.9,LM,ST,Korea Republic,86,87,56000000,150000
Azpilicueta,César Azpilicueta,8/28/1989,29,177.8,78.9,CB,RB,Spain,86,86,32500000,175000
Ederson,Ederson Santana de Moraes,8/17/1993,25,188,86,GK,Brazil,86,90,58000000,125000
K. Manolas,Kostas Manolas,6/14/1991,27,187.96,80.7,CB,Greece,86,87,40500000,125000
C. Lenglet,Clément Lenglet,6/17/1995,23,185.42,81.2,CB,France,85,89,34000000,109000
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,8/10/1994,24,172.72,64,CM,RW,Portugal,84,88,59500000,180000
David Silva,David Josué Jiménez Silva,1/8/1986,33,170.18,67.1,CAM,Spain,88,88,6000000,165000
J. Rodríguez,James David Rodríguez Rubio,7/12/1991,27,180.34,75,CAM,Colombia,88,89,59000000,215000
L. Sané,Leroy Sané,1/11/1996,23,182.88,75,LW,Germany,86,92,61000000,195000
S. Mané,Sadio Mané,4/10/1992,26,175.26,69.9,LW,Senegal,88,88,73500000,250000
R. Sterling,Raheem Shaquille Sterling,12/8/1994,24,170.18,69.9,RW,England,88,90,67500000,255000
S. Umtiti,Samuel Umtiti,11/14/1993,25,182.88,75.7,CB,France,87,90,57000000,205000
M. Hummels,Mats Julian Hummels,12/16/1988,30,191.01,92.1,CB,Germany,89,89,46000000,150000
R. Lukaku,Romelu Lukaku,5/13/1993,25,190.5,94.8,ST,Belgium,87,89,62500000,230000
Piqué,Gerard Piqué Bernabéu,2/2/1987,32,193.04,85.3,CB,Spain,87,87,34000000,240000
Paulinho,Paulinho Bezerra Maciel Júnior,7/25/1988,30,185.42,77.1,CM,Brazil,86,86,27500000,235000
Iniesta,Andrés Iniesta Luján,5/11/1984,34,170.18,68,CAM,CM,Spain,87,87,21500000,210000
J. Oblak,Jan Oblak,1/7/1993,26,188,87.1,GK,Slovenia,90,93,68000000,94000
Thiago Silva,Thiago Emiliano da Silva,9/22/1984,34,187.96,82.1,CB,Brazil,88,88,24000000,165000
Miranda,João Miranda de Souza Filho,9/7/1984,34,185.42,78.9,CB,Brazil,86,86,15500000,180000
Coutinho,Philippe Coutinho Correia,6/12/1992,26,172.72,68,LM,CAM,Brazil,88,89,69500000,340000
